=== REPLAY DECISION TRACE LOG ===
Event Type Definitions:
- CROSS_UP: Price opens below/on and closes above the line
- CROSS_DOWN: Price opens above/on and closes below the line
- SUPPORT_TEST: Candle opens and closes above line, but low wick touches/pierces line
- RESISTANCE_TEST: Candle opens and closes below line, but high wick touches/pierces line
- BREACH_CONFIRMED: Price closes beyond max(BEC_close, ZEC_high) for UP, or below min(BEC_close, ZEC_low) for DOWN.
- BREACH_CONFIRMED_NO_ALPHA: Intra-bar multi-cross or next-target-hit. No tradeable alpha.
- SUPPORT_BOUNCE: Price bounces up by threshold % after a SUPPORT_TEST
- RESISTANCE_REJECTION: Price rejects down by threshold % after a RESISTANCE_TEST
- TARGET_HIT: First contact with an angle line in the target progression sequence. Only fires once per line; subsequent contacts are ignored.
=================================================

[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [No Intersection Detected] -> No Event
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L190] Line 0.875 @ 25157.09 (Distance: 266.11)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L190] Line 0.75 @ 24969.32 (Distance: 453.88)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L190] Line 0.5 @ 24723.18 (Distance: 700.02)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L190] Line 0.25 @ 24551.34 (Distance: 871.86)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L190] Line horizontal @ 24723.18 (Distance: 700.02)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L191] Line 0.875 @ 25185.10 (Distance: 238.09)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L191] Line 0.75 @ 25018.06 (Distance: 405.14)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L191] Line 0.5 @ 24801.51 (Distance: 621.69)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L191] Line 0.25 @ 24651.62 (Distance: 771.58)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L191] Line horizontal @ 24801.51 (Distance: 621.69)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L192] Line 0.875 @ 25187.29 (Distance: 235.90)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L192] Line 0.75 @ 25034.44 (Distance: 388.76)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L192] Line 0.5 @ 24848.42 (Distance: 574.78)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L192] Line 0.25 @ 24725.55 (Distance: 697.64)
[RETRO] [Bar 4012] [2025-09-18 10:15] [O:25408.25, H:25442.40, L:25402.95, C:25423.20]  -> [H195-L192] Line horizontal @ 24848.42 (Distance: 574.78)
[RETRO] [Bar 4013] [2025-09-18 11:15] [O:25425.75, H:25434.45, L:25408.45, C:25418.95] [Pattern: SPINNING_TOP] -> [No Intersection Detected] -> No Event
